series,baker,technical_winner,technical_median,series_winner,baker_full,total_episodes_appeared,age,occupation,hometown,baker_last,baker_first
1,Annetha,0,4.5,0,Annetha Mills,2,30,Midwife,Essex,Mills,Annetha
1,David,0,4.5,0,David Chambers,4,31,Entrepreneur,Milton Keynes,Chambers,David
1,Edd,2,2,1,"Edward ""Edd"" Kimber",10,24,Debt collector for Yorkshire Bank,Bradford,Kimber,Edward
1,Jasminder,0,3,0,Jasminder Randhawa,5,45,Assistant Credit Control Manager,Birmingham,Randhawa,Jasminder
1,Jonathan,1,6,0,Jonathan Shepherd,3,25,Research Analyst,St Albans,Shepherd,Jonathan
1,Lea,0,10,0,Lea Harris,1,51,Retired,"Midlothian, Scotland",Harris,Lea
1,Louise,0,4,0,Louise Brimelow,2,44,Police Officer,Manchester,Brimelow,Louise
1,Miranda,2,3,0,Miranda Gore Browne,6,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Browne,Miranda
1,Ruth,0,3.5,0,Ruth Clemens,6,31,Retail manager/Housewife,"Poynton, Cheshire",Clemens,Ruth
2,Ben,1,2.5,0,Ben Frazer,4,31,Graphic Designer,Northampton,Frazer,Ben
2,Holly,2,3,0,Holly Bell,8,31,Advertising executive,Leicester,Bell,Holly
2,Ian,0,10,0,Ian Vallance,3,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Vallance,Ian
2,Janet,1,5,0,Janet Basu,7,63,Teacher of Modern Languages,"Formby, Liverpool",Basu,Janet
2,Jason,1,6,0,Jason White,5,19,Civil Engineering Student,Croydon,White,Jason
2,Joanne,3,4.5,1,"Joanne ""Jo"" Wheatley",10,41,Housewife,"Ongar, Essex",Wheatley,Joanne
2,Keith,0,12,0,Keith Batsford,1,31,House husband,"Arlesey, Bedfordshire",Batsford,Keith
2,Mary-Anne,0,3.5,0,Mary-Anne Boermans,8,45,Housewife,"Kidderminster, Worcestershire",Boermans,Mary-Anne
2,Robert,0,4,0,Robert Billington,5,25,Photographer,London,Billington,Robert
2,Simon,0,10,0,Simon Blackwell,2,31,Rugby Coach,Norfolk,Blackwell,Simon
2,Urvashi,0,7,0,Urvashi Roe,3,40,Head of Marketing,"Enfield, London",Roe,Urvashi
2,Yasmin,0,5,0,Yasmin Limbert,6,43,Childminder,"West Kirby, The Wirral",Limbert,Yasmin
3,Brendan,2,3,0,Brendan Lynch,10,63,Recruitment consultant,Sutton Coldfield,Lynch,Brendan
3,Cathryn,1,4,0,Cathryn Dresser,8,27,Shop assistant,"Pease Pottage, West Sussex",Dresser,Cathryn
3,Danny,0,3,0,Danny Bryden,9,45,Intensive care consultant,Sheffield,Bryden,Danny
3,James,5,1.5,0,James Morton,10,21,Medical student,"Hillswick, Shetland Islands",Morton,James
3,John,1,3,1,John Whaite,10,22,Law student,Wigan,Whaite,John
3,Manisha,0,6,0,Manisha Parmar,5,27,Nursery nurse,Leicester,Parmar,Manisha
3,Natasha,0,12,0,Natasha Stringer,1,36,Midwife,"Tamworth, Staffordshire",Stringer,Natasha
3,Peter,0,7,0,Peter Maloney,2,43,Sales manager,"Windsor, Berkshire",Maloney,Peter
3,Ryan,0,6,0,Ryan Chong,7,38,Photographer,Bristol,Chong,Ryan
3,Sarah-Jane,1,4,0,Sarah-Jane Willis,7,28,Vicar's wife,"Bewbush, West Sussex",Willis,Sarah-Jane
3,Stuart,0,8.5,0,Stuart Marston-Smith,4,26,PE teacher,"Lichfield, Staffordshire",Marston-Smith,Stuart
3,Victoria,0,4,0,Victoria Chester,3,50,CEO of the charity Plantlife,Somerset,Chester,Victoria
4,Ali,0,8.5,0,Ali Imdad,4,25,Charity worker,"Saltley, Birmingham",Imdad,Ali
4,Beca,1,5,0,Beca Lyne-Pirkis,9,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Lyne-Pirkis,Beca
4,Christine,1,4,0,Christine Wallace,8,66,Director of an engraving company,"Didcot, Oxfordshire",Wallace,Christine
4,Deborah,0,9,0,Deborah Manger,3,51,Dentist,Peterborough,Manger,Deborah
4,Frances,1,3,1,Frances Quinn,10,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Quinn,Frances
4,Glenn,1,4,0,Glenn Cosby,7,37,English Teacher,"Teignmouth, Devon",Cosby,Glenn
4,Howard,0,7,0,Howard Middleton,6,51,Council Worker,Sheffield,Middleton,Howard
